categoria,nombre,precio,precio_transferencia,descripcion,variantes,url
"" ,"Aerosol BABS x 250 ml.","Precio sin impuestos
                            : $0,00","$12.700,00 Precio sin impuestos $10.495,87 $12.065,00 con Transferencia o depósito bancario 💰","Aerosol antiparasitario externo para caninos de acción prolongada. PULGUICIDA Y GARRAPATICIDA EN AEROSOL BABS® es un eficaz antiparasitario externo con un práctico sistema en aerosol de aplicación que","","https://lamascoteranoa.com.ar/productos/aerosol-babs-x-250-ml/"
"" ,"Agility Adulto Raza Pequeña x 15kg","Precio sin impuestos
                            : $0,00","$66.000,00 Precio sin impuestos $54.545,45 $62.700,00 con Transferencia o depósito bancario 💰","DESCRIPCION Alimento balanceado seco para perros adultos de razas pequeñas, Caracteristicas: Los perros adultos de estructura pequeña necesitan una alimentación con un alto aporte de proteínas y grasa","","https://lamascoteranoa.com.ar/productos/agility-adulto-raza-pequena-x-15kg/"
"" ,"Agility Gatito x 1.5 kg","Precio sin impuestos
                            : $0,00","$14.900,00 Precio sin impuestos $12.314,05 $14.155,00 con Transferencia o depósito bancario 💰","Alimento balanceado completo, cocido por extrusión, resultado de una mezcla equilibrada de macronutrientes, micronutrientes y aditivos de altísima calidad que cubren los requerimientos alimenticios de","","https://lamascoteranoa.com.ar/productos/agility-gatito-x-1-5-kg/"
"" ,"Agility Gatito x 10 kg.","Precio sin impuestos
                            : $0,00","$74.800,00 Precio sin impuestos $61.818,18 $71.060,00 con Transferencia o depósito bancario 💰","Alimento balanceado completo, cocido por extrusión, resultado de una mezcla equilibrada de macronutrientes, micronutrientes y aditivos de altísima calidad que cubren los requerimientos alimenticios de","","https://lamascoteranoa.com.ar/productos/agility-gatito-x-10-kg/"
"" ,"Agility Gato Adulto x 1.5 kg","Precio sin impuestos
                            : $0,00","$13.700,00 Precio sin impuestos $11.322,31 $13.015,00 con Transferencia o depósito bancario 💰","Alimento balanceado completo, cocido por extrusión, resultado de una mezcla equilibrada de macronutrientes, micronutrientes y aditivos de altísima calidad que cubren los requerimientos alimenticios de","","https://lamascoteranoa.com.ar/productos/agility-gato-adulto-x-1-5-kg/"
"" ,"Agility Gato Adulto x 10 kg","Precio sin impuestos
                            : $0,00","$69.100,00 Precio sin impuestos $57.107,44 $65.645,00 con Transferencia o depósito bancario 💰","Alimento balanceado completo, cocido por extrusión, resultado de una mezcla equilibrada de macronutrientes, micronutrientes y aditivos de altísima calidad que cubren los requerimientos alimenticios de","","https://lamascoteranoa.com.ar/productos/agility-gato-adulto-x-10-kg/"
"" ,"Agility Gato Control de Peso x 10 kg.","Precio sin impuestos
                            : $0,00","$78.200,00 Precio sin impuestos $64.628,10 $74.290,00 con Transferencia o depósito bancario 💰","Alimento balanceado y 100% completo para gatos adultos a partir de los 12 meses con menor actividad, tendencia o que tienen sobrepeso. Su fórmula aporta la cantidad de macronutrientes y micronutriente","","https://lamascoteranoa.com.ar/productos/agility-gato-control-de-peso-x-10-kg/"
"" ,"Agility Gato Urinario x 1.5 kg","Precio sin impuestos
                            : $0,00","$15.200,00 Precio sin impuestos $12.561,98 $14.440,00 con Transferencia o depósito bancario 💰","Los gatos adultos con tendencia a alteraciones urinarias necesitan de una alimentación completa y equilibrada que cubra sus requerimientos nutricionales y les brinde salud y vitalidad. Agility Cats Ur","","https://lamascoteranoa.com.ar/productos/agility-gato-urinario-x-1-5-kg/"
"" ,"Agility Gato Urinario x 10 kg","Precio sin impuestos
                            : $0,00","$74.800,00 Precio sin impuestos $61.818,18 $71.060,00 con Transferencia o depósito bancario 💰","Los gatos adultos con tendencia a alteraciones urinarias necesitan de una alimentación completa y equilibrada que cubra sus requerimientos nutricionales y les brinde salud y vitalidad. Agility Cats Ur","","https://lamascoteranoa.com.ar/productos/agility-gato-urinario-x-10-kg/"
"" ,"Agility Perro Adulto x 20 kg.","Precio sin impuestos
                            : $0,00","$72.500,00 Precio sin impuestos $59.917,36 $68.875,00 con Transferencia o depósito bancario 💰","Alimento balanceado seco para perros de talla mediana o grande en etapa adulta. Caracteristicas: Formulado con acidos grasos que ayudan a mejorar la salud de la piel y el pelo. Posee fibras naturales ","","https://lamascoteranoa.com.ar/productos/agility-perro-adulto-x-20-kg/"
"" ,"Agility Perro Adulto x 3 kg.","Precio sin impuestos
                            : $0,00","$15.300,00 Precio sin impuestos $12.644,63 $14.535,00 con Transferencia o depósito bancario 💰","Alimento balanceado seco para perros de talla mediana o grande en etapa adulta. Caracteristicas: Formulado con acidos grasos que ayudan a mejorar la salud de la piel y el pelo. Posee fibras naturales ","","https://lamascoteranoa.com.ar/productos/agility-perro-adulto-x-3-kg/"
